,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
IG3PS,0.25024450803503706,0.6177359375221312,"[(0.999999981213846, 23), (0.9999999812138185, 7), (0.9999999812122295, 5), (0.9999999812138096, 4), (0.9999999870718579, 3), (0.9999999802078943, 3), (0.9999999795650139, 2), (2.2595258997171186e-12, 2), (0.9999999812122322, 2), (0.9999999796285994, 2), (0.9999999794631602, 2), (0.9999999871308356, 1), (0.9999999812187381, 1), (0.9999999803919826, 1), (0.9999999795650147, 1), (0.9999999812122846, 1), (0.9999999796311609, 1), (0.9999999806100206, 1), (0.9999999809864972, 1), (0.9999999789854597, 1), (0.9999999870718437, 1), (0.9999999812179379, 1), (0.9999999812138505, 1), (0.9999999812102578, 1), (0.9999999812018086, 1), (0.9999999812141533, 1), (0.9999999814145548, 1), (0.9999999812079192, 1), (0.9999999812139109, 1), (0.0, 1), (0.9999999824840797, 1), (0.9999999812235174, 1), (0.999999981213616, 1), (0.9999999868753573, 1), (0.999999979951415, 1), (0.9999999812130049, 1), (0.9999999812201859, 1), (0.9999999796286003, 1), (0.9999999812121096, 1), (0.9999999812124374, 1), (0.9999999812105198, 1), (0.9999999812137812, 1), (0.9999999812288269, 1), (0.9999999802064892, 1), (0.9999999812152254, 1), (0.9999999789857181, 1), (0.9999999812122553, 1), (0.9999999812172318, 1), (0.9999999812113716, 1), (0.9999999795653354, 1), (0.9999999812040326, 1), (0.9999999798054287, 1), (0.9999999796289485, 1), (0.9999999817885579, 1), (0.9999999820357104, 1), (0.9999999808011815, 1), (0.9999999795273267, 1), (0.9999999812125502, 1), (0.9999999812142315, 1), (0.9999999812126461, 1), (0.9999999800891111, 1), (0.9999999812141454, 1), (0.9999999801957999, 1), (0.9999999802079058, 1), (0.9999999812316753, 1), (0.9999999795658736, 1), (0.9999999789856409, 1), (0.999999981221694, 1), (0.9999999802078952, 1), (0.9999999870722078, 1), (0.9999999812146338, 1), (0.9999999802079955, 1), (0.9999999809123823, 1), (0.9999999804867219, 1), (0.9999999889298286, 1), (0.9999999812258045, 1), (0.9999999789857226, 1), (0.9999999795650201, 1), (0.9999999812045379, 1), (0.9999999796097185, 1), (0.9999999796292736, 1), (0.9999999812122518, 1), (0.9999999812122367, 1), (0.9999999812138007, 1), (0.33333332707278895, 1), (0.999999980828969, 1), (0.9999999812173002, 1), (0.9999999810885463, 1), (1.0000000000000009, 1), (0.9999999812138105, 1)]",Histidine Metabolism,Imidazole-glycerol-3-phosphate synthase,"['Rv1605', 'Rv1602']",gln__L_c + prlp_c --> aicar_c + eig3p_c + glu__L_c + h_c,
PRATPP,0.25024450803448356,0.6177359375225028,"[(0.9999999812138443, 23), (0.9999999812138167, 7), (0.9999999812122278, 5), (0.9999999812138078, 4), (0.9999999870718561, 3), (0.9999999795650121, 3), (0.9999999802078925, 3), (2.2577495428777183e-12, 2), (0.9999999812122304, 2), (0.9999999796285977, 2), (0.9999999794631567, 2), (0.9999999871308338, 1), (0.9999999812187355, 1), (0.9999999803919808, 1), (0.9999999812122828, 1), (0.9999999796311592, 1), (0.9999999806100188, 1), (0.9999999809864955, 1), (0.9999999789854579, 1), (0.9999999870718419, 1), (0.9999999812179361, 1), (0.9999999812138469, 1), (0.999999981210256, 1), (0.9999999812018068, 1), (0.9999999812141516, 1), (0.999999981414553, 1), (0.9999999812077958, 1), (0.9999999812139091, 1), (0.0, 1), (0.9999999824840788, 1), (0.9999999812235156, 1), (0.9999999812136151, 1), (0.9999999868753555, 1), (0.9999999799514123, 1), (0.9999999812130032, 1), (0.9999999812201841, 1), (0.9999999796285985, 1), (0.9999999812121079, 1), (0.9999999812124356, 1), (0.999999981210518, 1), (0.9999999812137794, 1), (0.9999999812288252, 1), (0.9999999802064874, 1), (0.9999999812152325, 1), (0.9999999789857172, 1), (0.9999999812122535, 1), (0.9999999812172291, 1), (0.9999999812113707, 1), (0.9999999795653336, 1), (0.9999999812040308, 1), (0.9999999798054269, 1), (0.9999999796289467, 1), (0.9999999817885561, 1), (0.9999999820357086, 1), (0.9999999808011797, 1), (0.9999999795273249, 1), (0.9999999812126106, 1), (0.9999999812142297, 1), (0.9999999812126452, 1), (0.9999999800891093, 1), (0.9999999812141436, 1), (0.999999980195799, 1), (0.999999980207904, 1), (0.9999999812316736, 1), (0.9999999795658718, 1), (0.9999999789856391, 1), (0.9999999812216922, 1), (0.9999999802078934, 1), (0.999999987072206, 1), (0.999999981214633, 1), (0.9999999802079937, 1), (0.9999999809123796, 1), (0.9999999804867192, 1), (0.9999999889298268, 1), (0.9999999812258027, 1), (0.9999999789857208, 1), (0.9999999795650183, 1), (0.9999999812045361, 1), (0.9999999796097168, 1), (0.9999999796292718, 1), (0.99999998121225, 1), (0.9999999812122349, 1), (0.9999999812137981, 1), (0.3333333270727872, 1), (0.9999999808289664, 1), (0.9999999812172984, 1), (0.9999999810885436, 1), (1.0, 1), (0.9999999812138087, 1)]",Histidine Metabolism,phosphoribosyl-ATP pyrophosphatase,['Rv2122c'],h2o_c + prbatp_c --> h_c + ppi_c + prbamp_c,
ATPPRT,0.2502445080339173,0.6177359375229055,"[(0.9999999812138443, 23), (0.9999999812138167, 7), (0.9999999812122287, 5), (0.9999999812138078, 4), (0.999999987071857, 3), (0.9999999802078925, 3), (0.9999999795650121, 2), (2.2577495428777183e-12, 2), (0.9999999812122313, 2), (0.9999999796285977, 2), (0.9999999794631584, 2), (0.9999999871308338, 1), (0.9999999812187363, 1), (0.9999999803919808, 1), (0.999999979565013, 1), (0.9999999812122846, 1), (0.9999999796311609, 1), (0.9999999806100197, 1), (0.9999999809864955, 1), (0.9999999789854597, 1), (0.9999999870718419, 1), (0.999999981217937, 1), (0.9999999812138478, 1), (0.999999981210256, 1), (0.9999999812018077, 1), (0.9999999812141516, 1), (0.9999999814145539, 1), (0.9999999812078118, 1), (0.99999998121391, 1), (0.0, 1), (0.9999999824840788, 1), (0.9999999812235165, 1), (0.9999999812136151, 1), (0.9999999868753564, 1), (0.9999999799514123, 1), (0.999999981213004, 1), (0.9999999812201841, 1), (0.9999999796285985, 1), (0.9999999812121079, 1), (0.9999999812124365, 1), (0.9999999812105189, 1), (0.9999999812137794, 1), (0.999999981228826, 1), (0.9999999802064874, 1), (0.9999999812152325, 1), (0.9999999789857172, 1), (0.9999999812122535, 1), (0.99999998121723, 1), (0.9999999812113707, 1), (0.9999999795653336, 1), (0.9999999812040308, 1), (0.9999999798054269, 1), (0.9999999796289467, 1), (0.9999999817885561, 1), (0.9999999820357086, 1), (0.9999999808011797, 1), (0.9999999795273258, 1), (0.999999981212115, 1), (0.9999999812142297, 1), (0.9999999812126452, 1), (0.9999999800891093, 1), (0.9999999812141445, 1), (0.9999999801957982, 1), (0.999999980207904, 1), (0.9999999812316736, 1), (0.9999999795658718, 1), (0.9999999789856391, 1), (0.9999999812216922, 1), (0.9999999802078943, 1), (0.9999999870722078, 1), (0.999999981214633, 1), (0.9999999802079937, 1), (0.9999999809123805, 1), (0.9999999804867201, 1), (0.9999999889298277, 1), (0.9999999812258027, 1), (0.9999999789857217, 1), (0.9999999795650183, 1), (0.9999999812045361, 1), (0.9999999796097168, 1), (0.9999999796292718, 1), (0.9999999812122509, 1), (0.9999999812122349, 1), (0.9999999812137981, 1), (0.3333333270727872, 1), (0.9999999808289664, 1), (0.9999999812172993, 1), (0.9999999810885436, 1), (1.0, 1), (0.9999999812138096, 1)]",Histidine Metabolism,ATP phosphoribosyltransferase,['Rv2121c'],atp_c + prpp_c --> ppi_c + prbatp_c,
PRAMPC,0.2502445080333574,0.617735937523308,"[(0.9999999812138451, 23), (0.9999999812138176, 7), (0.9999999812122287, 5), (0.9999999812138087, 4), (0.999999987071857, 3), (0.9999999795650121, 3), (0.9999999802078925, 3), (2.2595258997171186e-12, 2), (0.9999999812122304, 2), (0.9999999796285985, 2), (0.9999999794631584, 2), (0.9999999871308347, 1), (0.9999999812187372, 1), (0.9999999803919808, 1), (0.9999999812122837, 1), (0.99999997963116, 1), (0.9999999806100188, 1), (0.9999999809864955, 1), (0.9999999789854588, 1), (0.9999999870718428, 1), (0.999999981217937, 1), (0.9999999812138478, 1), (0.9999999812102569, 1), (0.9999999812018086, 1), (0.9999999812141525, 1), (0.999999981414553, 1), (0.9999999812077967, 1), (0.99999998121391, 1), (0.0, 1), (0.9999999824840797, 1), (0.9999999812235165, 1), (0.999999981213616, 1), (0.9999999868753555, 1), (0.9999999799514132, 1), (0.999999981213004, 1), (0.9999999812201841, 1), (0.9999999796285994, 1), (0.9999999812121079, 1), (0.9999999812124365, 1), (0.999999981210518, 1), (0.9999999812137803, 1), (0.9999999812288252, 1), (0.9999999802064883, 1), (0.9999999812152325, 1), (0.9999999789857172, 1), (0.9999999812122535, 1), (0.9999999812172309, 1), (0.9999999812113707, 1), (0.9999999795653354, 1), (0.9999999812040317, 1), (0.9999999798054278, 1), (0.9999999796289476, 1), (0.9999999817885561, 1), (0.9999999820357086, 1), (0.9999999808011797, 1), (0.9999999795273249, 1), (0.9999999812126106, 1), (0.9999999812142306, 1), (0.9999999812126461, 1), (0.9999999800891093, 1), (0.9999999812141445, 1), (0.9999999801957999, 1), (0.999999980207904, 1), (0.9999999812316753, 1), (0.9999999795658718, 1), (0.9999999789856391, 1), (0.999999981221694, 1), (0.9999999802078943, 1), (0.9999999870722069, 1), (0.9999999812146338, 1), (0.9999999802079946, 1), (0.9999999809123814, 1), (0.9999999804867192, 1), (0.9999999889298277, 1), (0.9999999812258036, 1), (0.9999999789857217, 1), (0.9999999795650183, 1), (0.9999999812045361, 1), (0.9999999796097176, 1), (0.9999999796292727, 1), (0.9999999812122509, 1), (0.9999999812122358, 1), (0.999999981213799, 1), (0.33333332707278807, 1), (0.9999999808289672, 1), (0.9999999812172984, 1), (0.9999999810885454, 1), (1.0, 1), (0.9999999812138105, 1)]",Histidine Metabolism,phosphoribosyl-AMP cyclohydrolase,['Rv1606'],h2o_c + prbamp_c --> prfp_c,
OCBT,0.250244507978859,0.617735937561547,"[(0.9999999812138451, 23), (0.9999999812138167, 7), (0.9999999812122295, 3), (0.9999999802078952, 3), (0.9999999812138096, 3), (0.9999999812122287, 2), (2.2586377212974185e-12, 2), (0.9999999870718579, 2), (0.9999999794631584, 2), (0.9999999871308347, 1), (0.9999999812224294, 1), (0.999999987071857, 1), (0.9999999803919817, 1), (0.9999999795650147, 1), (0.9999999812122837, 1), (0.99999997963116, 1), (0.9999999795650139, 1), (0.9999999806100197, 1), (0.9999999809864946, 1), (0.9999999798362644, 1), (0.9999999870718437, 1), (0.9999999812179379, 1), (0.9999999812138496, 1), (0.9999999812102569, 1), (0.9999999812018077, 1), (0.9999999812141525, 1), (0.999999981414553, 1), (0.9999999812081084, 1), (0.9999999812139091, 1), (0.0, 1), (0.9999999824840797, 1), (0.9999999812235183, 1), (0.9999999812122304, 1), (0.9999999812136151, 1), (0.9999999868753573, 1), (0.9999999799514123, 1), (0.9999999811960585, 1), (0.999999981171162, 1), (0.999999981220185, 1), (0.9999999796286003, 1), (0.9999999812121079, 1), (0.999999981212472, 1), (0.999999981210518, 1), (0.9999999812137812, 1), (0.9999999812288252, 1), (0.9999999802064901, 1), (0.9999999796285985, 1), (0.9999999812155798, 1), (0.9999999789857181, 1), (0.9999999812122535, 1), (0.9999999812172291, 1), (0.9999999812113707, 1), (0.9999999795653345, 1), (0.9999999812040308, 1), (0.9999999798054287, 1), (0.9999999796289476, 1), (0.9999999811988767, 1), (0.9999999820357095, 1), (0.9999999812240734, 1), (0.9999999795273258, 1), (0.9999999812141231, 1), (0.9999999796285994, 1), (0.9999999812142315, 1), (0.9999999812126452, 1), (0.9999999812138087, 1), (0.9999999800891084, 1), (0.9999999811700198, 1), (0.9999999802078943, 1), (0.999999980195799, 1), (0.999999980207904, 1), (0.9999999805131523, 1), (0.9999999795658718, 1), (0.99999997898564, 1), (0.9999999812216931, 1), (0.9999999870722078, 1), (0.9999999811788767, 1), (0.9999999802079946, 1), (0.9999999809123814, 1), (0.9999999804867201, 1), (0.9999999889298268, 1), (0.9999999812258036, 1), (0.9999999789857226, 1), (0.9999999795652998, 1), (0.999999981204537, 1), (0.9999999796097185, 1), (0.9999999796292727, 1), (0.9999999812122518, 1), (0.9999999812122367, 1), (0.999999981213799, 1), (0.3333333270727872, 1), (0.999999980828969, 1), (0.9999999812172993, 1), (0.9999999810885445, 1), (1.0, 1), (0.9999999812138105, 1), (0.999999979565013, 1)]",Arginine and Proline Metabolism,ornithine carbamoyltransferase,['Rv1656'],cbp_c + orn_c <=> citr__L_c + h_c + pi_c,
ACChex,0.2502445073528581,0.6177359380008715,"[(0.9999999789857172, 34), (0.9999999799916681, 9), (0.9999999805665709, 6), (0.9999999806345485, 5), (0.9999999805709638, 3), (0.9999999807364048, 3), (0.9999999799900516, 2), (0.9999999864925613, 2), (0.9999999812138078, 2), (0.9999999860740987, 1), (0.9999999812188642, 1), (0.9999999803919817, 1), (0.9999999797643175, 1), (1.372100655316899e-09, 1), (0.9999999858496667, 1), (0.9999999806386404, 1), (0.9999999799916708, 1), (0.9999999812102569, 1), (0.9999999806225119, 1), (0.9999999799919754, 1), (0.9999999805605437, 1), (0.9999999805710269, 1), (1.847282327105404e-09, 1), (0.9999999812619018, 1), (0.999999980580637, 1), (0.99999998056935, 1), (0.9999999799914381, 1), (0.9999999791064482, 1), (0.9999999862960607, 1), (0.9999999805701227, 1), (0.9999999805693491, 1), (0.9999999806329312, 1), (0.999999979998007, 1), (0.9999999870718579, 1), (0.99999997998993, 1), (0.9999999806331417, 1), (0.9999999806312223, 1), (0.9999999806329329, 1), (0.9999999812137812, 1), (0.999999980006649, 1), (0.999999981215578, 1), (0.9999999799900765, 1), (0.9999999799950512, 1), (0.9999999812113698, 1), (0.999999980624735, 1), (0.0, 1), (0.999999980619581, 1), (0.9999999805709363, 1), (0.9999999813928264, 1), (0.9999999806447759, 1), (0.9999999799900507, 1), (0.999999980571352, 1), (0.999999979987301, 1), (0.9999999805713502, 1), (0.9999999812138087, 1), (0.9999999799904673, 1), (0.9999999799918422, 1), (0.9999999806523796, 1), (0.9999999799995152, 1), (0.9999999864929103, 1), (0.9999999799880896, 1), (0.9999999803330839, 1), (0.9999999799074217, 1), (0.9999999889298268, 1), (0.9999999801690675, 1), (0.9999999812045353, 1), (0.9999999787850076, 1), (0.999999980632956, 1), (0.9999999805693545, 1), (0.9999999806345015, 1), (0.3333333262616698, 1), (0.9999999796067902, 1), (0.9999999805744171, 1), (0.9999999798663657, 1), (1.0, 1), (0.999999980634513, 1), (0.9999999801570718, 1)]",Fatty Acid Metabolism,ACChex,['Rv3280'],coa_c + 2.0 h_c + hexc_c --> h2o_c + hexccoa_c,['Rv3280']
ASNS1,0.25024450592329756,0.617735939004117,"[(0.9999999812138443, 23), (0.9999999812137936, 8), (0.9999999812122278, 5), (0.9999999812138087, 4), (0.9999999870718561, 3), (0.9999999795650121, 3), (0.9999999802078925, 3), (2.2595258997171186e-12, 2), (0.9999999796285977, 2), (0.9999999794631567, 2), (0.9999999871308338, 1), (0.9999999812188625, 1), (0.9999999803919808, 1), (0.999999979565013, 1), (0.999999981212282, 1), (0.9999999796311592, 1), (0.9999999806100188, 1), (0.9999999809864937, 1), (0.9999999789854579, 1), (0.999999987071841, 1), (0.9999999812179352, 1), (0.999999981213846, 1), (0.9999999812102551, 1), (0.9999999812018068, 1), (0.9999999812141507, 1), (0.9999999814145522, 1), (0.9999999811977247, 1), (0.9999999812139082, 1), (0.0, 1), (0.999999982484078, 1), (0.9999999812235165, 1), (0.9999999812122287, 1), (0.9999999812136142, 1), (0.999999993551663, 1), (0.9999999799514114, 1), (0.9999999812130032, 1), (0.9999999812122295, 1), (0.9999999812201841, 1), (0.9999999796286474, 1), (0.999999981212107, 1), (0.9999999812124356, 1), (0.9999999812105171, 1), (0.9999999812137803, 1), (0.9999999812288234, 1), (0.9999999802064883, 1), (0.999999981215578, 1), (0.9999999789857164, 1), (0.9999999812122518, 1), (0.9999999812172273, 1), (0.9999999812113698, 1), (0.9999999795653327, 1), (0.9999999812040299, 1), (0.9999999798054278, 1), (0.9999999796289467, 1), (0.9999999811988749, 1), (0.9999999820357077, 1), (0.9999999812240716, 1), (0.999999979527324, 1), (0.9999999792231531, 1), (0.9999999812126434, 1), (0.999999981213807, 1), (0.9999999800891075, 1), (0.9999999812140166, 1), (0.999999980195776, 1), (0.9999999802079023, 1), (0.9999999812316736, 1), (0.9999999797794601, 1), (0.9999999789856373, 1), (0.9999999812259777, 1), (0.9999999802078943, 1), (0.999999987072206, 1), (0.9999999812146321, 1), (0.9999999802080426, 1), (0.9999999809123796, 1), (0.9999999804867183, 1), (0.999999988929825, 1), (0.9999999812258018, 1), (0.9999999789857199, 1), (0.9999999812045353, 1), (0.9999999796097168, 1), (0.9999999796292709, 1), (0.9999999812122509, 1), (0.999999981212234, 1), (0.9999999812137981, 1), (0.33333332707278807, 1), (0.9999999808289672, 1), (0.9999999812172966, 1), (0.9999999810885427, 1), (1.0, 1)]","Alanine, Aspartate, and Glutamate Metabolism",asparagine synthase (glutamine-hydrolysing),['Rv2201'],asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c,
TDPGDH,0.25024450508128937,0.6177359395950137,"[(0.9999999941416657, 67), (0.9999999941416666, 15), (0.9999999941417377, 11), (0.9999999941416648, 4), (0.9999999999996785, 3), (0.9999999941416382, 3), (0.0, 3), (0.9999999941416684, 2), (0.9999999999813252, 1), (0.9999999924928362, 1), (0.9999999919132785, 1), (0.9999999999996643, 1), (0.9999999940348889, 1), (0.9999999941416693, 1), (0.9999999943423754, 1), (0.9999999941294764, 1), (0.9999999999532418, 1), (0.9999999941416293, 1), (0.9999999941400528, 1), (0.9999999941400493, 1), (0.9999999931357157, 1), (0.9999999941592588, 1), (0.9999999941427475, 1), (0.9999999941416364, 1), (0.9999999941416231, 1), (0.9999999931357326, 1), (0.999999992390979, 1), (0.9999999941408753, 1), (0.9999999931356003, 1), (0.999999992491416, 1), (1.0, 1), (0.999999994141664, 1), (0.9999999924928336, 1), (0.33333333138055465, 1)]",Arabinogalactan biosynthesis,"dTDPglucose 4,6-dehydratase","['Rv3464', 'Rv3468c', 'Rv3784']",dtdpglu_c --> dtdp4d6dg_c + h2o_c,
TDPDRR,0.25024450502180634,0.6177359396367628,"[(0.9999999941416648, 71), (0.9999999941416666, 12), (0.9999999941417377, 11), (0.9999999941416657, 7), (0.9999999999996785, 3), (0.9999999941416391, 3), (0.0, 3), (0.9999999999813252, 1), (0.9999999924928362, 1), (0.9999999919132803, 1), (0.9999999999996652, 1), (0.9999999941416746, 1), (0.9999999943423745, 1), (0.9999999941416524, 1), (0.9999999941294764, 1), (0.9999999999532427, 1), (0.9999999941416302, 1), (0.9999999941400528, 1), (0.9999999941400493, 1), (0.9999999931357157, 1), (0.9999999941416693, 1), (0.9999999941416231, 1), (0.9999999931357371, 1), (0.999999994141656, 1), (0.999999992390979, 1), (0.9999999941408761, 1), (0.9999999931356003, 1), (0.9999999924913929, 1), (1.0, 1), (0.9999999924928336, 1), (0.33333333138055465, 1)]",Arabinogalactan biosynthesis,dTDP-4-dehydrorhamnose reductase,['Rv3266c'],dtdp4d6dm_c + h_c + nadph_c --> dtdprmn_c + nadp_c,['Rv3266c']
TDPDRE,0.250244505020115,0.6177359396379605,"[(0.9999999941416657, 68), (0.9999999941417377, 11), (0.9999999941416666, 11), (0.9999999941416648, 9), (0.9999999999996785, 3), (0.9999999941416391, 3), (0.0, 3), (0.9999999941416675, 2), (0.9999999999813252, 1), (0.9999999924928362, 1), (0.9999999919132803, 1), (0.9999999999996652, 1), (0.9999999941416746, 1), (0.9999999943423754, 1), (0.9999999941416524, 1), (0.9999999941294764, 1), (0.9999999999532427, 1), (0.9999999941416302, 1), (0.9999999941400528, 1), (0.9999999941400493, 1), (0.9999999931357157, 1), (0.9999999941416693, 1), (0.9999999941416231, 1), (0.9999999931357371, 1), (0.999999994141656, 1), (0.999999992390979, 1), (0.9999999941408761, 1), (0.9999999931356003, 1), (0.9999999924913929, 1), (1.0, 1), (0.9999999924928336, 1), (0.33333333138055465, 1)]",Arabinogalactan biosynthesis,"dTDP-4-dehydrorhamnose 3,5-epimerase",['Rv3465'],dtdp4d6dg_c --> dtdp4d6dm_c,
DCPT,0.25024450500862044,0.6177359396460231,"[(0.9999999941416684, 47), (0.9999999941416675, 44), (0.9999999941416311, 13), (0.99999999414164, 3), (0.0, 3), (0.9999999999996803, 2), (0.9999999941416666, 2), (0.999999999981326, 1), (0.9999999924928371, 1), (0.9999999919132811, 1), (0.9999999999996669, 1), (0.9999999941414508, 1), (0.9999999943423754, 1), (0.9999999941414952, 1), (0.9999999999998002, 1), (0.9999999941400537, 1), (0.9999999931357175, 1), (0.9999999999996794, 1), (0.999999994141656, 1), (0.999999993135714, 1), (0.999999992390979, 1), (0.9999999941405102, 1), (0.9999999931356012, 1), (0.9999999924913938, 1), (1.0, 1), (0.9999999924928353, 1), (0.33333333138055554, 1)]",Arabinogalactan biosynthesis,phosphoribose transferase (undecaprenyl phosphate),['Rv3806c'],decd__tb_c + prpp_c --> decdpr__tb_c + ppi_c,['Rv3806c']
EMB,0.25024450471594223,0.6177359398514232,"[(0.9999999941416657, 96), (0.9999999941416302, 8), (0.9999999941416382, 3), (0.0, 3), (0.9999999999996794, 2), (0.9999999999813243, 1), (0.9999999924928344, 1), (0.9999999919132803, 1), (0.9999999999996643, 1), (0.9999999943423745, 1), (0.9999999998031779, 1), (0.9999999941400528, 1), (0.9999999941400493, 1), (0.9999999931357149, 1), (0.9999999999996785, 1), (0.9999999941566475, 1), (0.9999999931357122, 1), (0.9999999949635319, 1), (0.999999992390979, 1), (0.9999999941404658, 1), (0.9999999931355994, 1), (0.9999999941594959, 1), (0.999999992491392, 1), (1.0, 1), (0.9999999924928336, 1), (0.9999999941416196, 1), (0.33333333138055554, 1)]",Arabinogalactan biosynthesis,EMB,"['Rv3794', 'Rv3793', 'Rv3805c', 'Rv2673', 'Rv3795']",agalfragund_c + 70.0 decda__tb_c <=> arabinanagalfragund_c + 70.0 decd__tb_c,"['Rv3793', 'Rv3794', 'Rv3795']"
GALFT,0.2502445047059829,0.617735939858402,"[(0.9999999941416657, 83), (0.9999999941416302, 8), (0.999999994141664, 5), (0.9999999999996794, 3), (0.9999999941416382, 3), (0.0, 3), (0.9999999941416666, 2), (0.9999999999813252, 1), (0.9999999924928353, 1), (0.9999999919132794, 1), (0.9999999999996634, 1), (0.999999994126302, 1), (0.9999999943423736, 1), (0.9999999941416506, 1), (0.9999999941294755, 1), (0.9999999998031059, 1), (0.9999999941400519, 1), (0.9999999941400493, 1), (0.9999999931357149, 1), (0.999999994156358, 1), (0.9999999941416684, 1), (0.9999999941407891, 1), (0.9999999931357175, 1), (0.9999999949635283, 1), (0.9999999941416542, 1), (0.9999999923909781, 1), (0.9999999941408735, 1), (0.9999999931356003, 1), (0.9999999941451945, 1), (0.999999992491392, 1), (1.0, 1), (0.9999999924928336, 1), (0.9999999941405928, 1), (0.33333333138055465, 1)]",Arabinogalactan biosynthesis,galactofuranose transferse (M tb),"['Rv3782', 'Rv3808c']",h2o_c + ragund_c + 30.0 udpgalfur_c --> galfragund_c + 30.0 h_c + 30.0 udp_c,
UDPGALM,0.25024450470485254,0.6177359398591971,"[(0.9999999941416666, 77), (0.9999999941416675, 9), (0.9999999941416293, 8), (0.9999999941416657, 5), (0.9999999999996785, 3), (0.0, 3), (0.9999999941416382, 2), (0.9999999999813243, 1), (0.9999999924928353, 1), (0.9999999941416391, 1), (0.9999999919132794, 1), (0.9999999999996652, 1), (0.9999999941263029, 1), (0.9999999943423736, 1), (0.9999999941416515, 1), (0.9999999941294755, 1), (0.9999999998031059, 1), (0.9999999941400528, 1), (0.999999994140051, 1), (0.9999999931357157, 1), (0.999999994156358, 1), (0.9999999941416275, 1), (0.9999999931357175, 1), (0.9999999949635292, 1), (0.9999999941416551, 1), (0.999999992390979, 1), (0.9999999941408735, 1), (0.9999999931355994, 1), (0.9999999941451954, 1), (0.9999999924913929, 1), (1.0, 1), (0.9999999924928336, 1), (0.9999999941405937, 1), (0.33333333138055465, 1)]",Arabinogalactan biosynthesis,UDPgalactopyranose mutase,['Rv3809c'],udpgal_c --> udpgalfur_c,
UDPG4E,0.2502445047042863,0.6177359398595996,"[(0.9999999941416666, 85), (0.9999999941416302, 6), (0.9999999941416657, 5), (0.9999999999996785, 3), (0.0, 3), (0.9999999924928327, 2), (0.9999999941416382, 2), (0.9999999941416293, 2), (0.9999999999813252, 1), (0.9999999941416391, 1), (0.9999999919132794, 1), (0.9999999999996652, 1), (0.999999994126302, 1), (0.9999999943423727, 1), (0.9999999941416515, 1), (0.9999999941294764, 1), (0.9999999998031059, 1), (0.9999999941400528, 1), (0.9999999941400493, 1), (0.9999999931357149, 1), (0.999999994156358, 1), (0.9999999941416684, 1), (0.9999999941416275, 1), (0.9999999931357184, 1), (0.9999999949635292, 1), (0.9999999941416551, 1), (0.9999999923909781, 1), (0.9999999941408735, 1), (0.9999999931355994, 1), (0.9999999941451945, 1), (0.999999992491392, 1), (1.0, 1), (0.9999999941405937, 1), (0.33333333138055465, 1)]",Nucleotide Salvage Pathway,UDPglucose 4-epimerase,"['Rv3634c', 'Rv0501', 'Rv0536']",udpg_c <=> udpgal_c,
AFTA,0.2502445046991654,0.6177359398631923,"[(0.9999999941416657, 83), (0.9999999941416302, 8), (0.9999999941416648, 5), (0.9999999999996785, 3), (0.0, 3), (0.9999999941416382, 2), (0.9999999941416666, 2), (0.9999999999813243, 1), (0.9999999924928353, 1), (0.9999999941416391, 1), (0.9999999919132803, 1), (0.9999999999996634, 1), (0.999999994126302, 1), (0.9999999943423745, 1), (0.9999999941416515, 1), (0.9999999941294764, 1), (0.9999999998031779, 1), (0.9999999941400528, 1), (0.9999999941400501, 1), (0.9999999931357157, 1), (0.9999999941566475, 1), (0.9999999941416684, 1), (0.9999999941409117, 1), (0.9999999931357229, 1), (0.9999999949635319, 1), (0.9999999941416551, 1), (0.9999999923909781, 1), (0.9999999941404658, 1), (0.9999999931356003, 1), (0.9999999941594959, 1), (0.999999992491392, 1), (1.0, 1), (0.9999999924928336, 1), (0.9999999941416204, 1), (0.33333333138055554, 1)]",Arabinogalactan biosynthesis,arabinofuranosyl transferase (M tb),['Rv3792'],decda__tb_c + galfragund_c --> agalfragund_c + decd__tb_c,
ACGAMT,0.2502445046366764,0.6177359399070472,"[(0.9999999941416657, 72), (0.9999999941416675, 11), (0.9999999941416302, 8), (0.9999999941416666, 7), (0.9999999999996794, 3), (0.9999999941416391, 3), (0.0, 3), (0.9999999999813252, 1), (0.9999999924928362, 1), (0.9999999919132811, 1), (0.9999999999996652, 1), (0.9999999941263038, 1), (0.9999999943423754, 1), (0.9999999941416533, 1), (0.9999999941294764, 1), (0.9999999999532427, 1), (0.9999999941400537, 1), (0.9999999941400493, 1), (0.9999999931357157, 1), (0.999999994156358, 1), (0.9999999941416693, 1), (0.999999994141624, 1), (0.9999999931357175, 1), (0.9999999949635301, 1), (0.999999994141656, 1), (0.9999999923909799, 1), (0.9999999941408753, 1), (0.9999999931356003, 1), (0.999999994145198, 1), (0.9999999924913929, 1), (1.0, 1), (0.9999999924928344, 1), (0.9999999941405937, 1), (0.33333333138055465, 1)]",Arabinogalactan biosynthesis,UDP-N-acetylglucosamine:undecaprenylphosphate N-acetylglucosamine -1-phosphate transferase,['Rv1302'],uacgam_c + udcpp_c --> ump_c + unaga_c,
