"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"new column"	"Pathways of gene"	"Pathways of enzyme"	"Reactions of gene"	"Pathways of a reaction"
G185E-6981	"Rv2733c"	3044986	3046524	"conserved hypothetical alanine, arginine-rich protein"		""	""	""	""
G185E-7478	"Rv3208"	3585004	3585690	"probable transcriptional regulatory protein (probably TetR-family)"		""	""	""	""
G185E-4996	"Rv0842"	938112	939404	"probable conserved integral membrane protein"		""	""	""	""
"kdpD"	"Rv1028c"	1149104	1151686	"probable sensor protein"		""	""	""	""
"rnj"	"Rv2752c"	3064515	3066191	"Ribonuclease J"		""	""	""	""
G185E-7102	"Rv2851c"	3160051	3160521	"GCN5-related N-acetyltransferase"		""	""	""	""
G185E-5178	"Rv1019"	1138315	1138908	"probable transcriptional regulatory protein (probably TetR-family)"		""	""	""	""
"senX3"	"Rv0490"	579349	580581	"putative two component sensor histidine kinase"		""	""	""	""
"mazF2"	"Rv0659c"	754685	754993	"toxin"		""	""	""	""
G185E-4462	"Rv0338c"	403193	405841	"probable iron-sulfur-binding reductase"		""	""	""	""
"ompA"	"Rv0899"	1002812	1003792	"outer membrane protein A"		""	""	3.4.21.87-RXN	""
"PE_PGRS43"	"Rv2490c"	2801254	2806236	"PE-PGRS family protein PE_PGRS43"		""	""	""	""
"PPE5"	"Rv0304c"	366150	372764	"PPE family protein PPE5"		""	""	""	""
"murG"	"Rv2153c"	2412119	2413351	G185E-6361-MONOMER		"peptidoglycan biosynthesis III (mycobacteria)"	"peptidoglycan biosynthesis III (mycobacteria)"	RXN-11029	"peptidoglycan biosynthesis III (mycobacteria)"
"rpoC"	"Rv0668"	763370	767320	"DNA-directed RNA polymerase (beta' chain)"		""	""	DNA-DIRECTED-RNA-POLYMERASE-RXN	""
G185E-5211	"Rv1051c"	1173945	1174700	"conserved hypothetical protein"		""	""	""	""
"PPE65"	"Rv3621c"	4060648	4061889	"PPE family protein PPE65"		""	""	""	""
G185E-6735	"Rv2499c"	2813173	2813730	"possible oxidase regulatory-related protein"		""	""	""	""
"uspC"	"Rv2318"	2590518	2591840	"probable periplasmic sugar-binding lipoprotein"		""	""	""	""
G185E-4835	"Rv0691A"	791658	791846	"mycofactocin precursor protein"		""	""	""	""
"PPE26"	"Rv1789"	2026790	2027971	"PPE family protein PPE26"		""	""	""	""
G185E-4436	"Rv0313"	382490	382876	"conserved protein"		""	""	""	""
"acpS"	"Rv2523c"	2839538	2839930	"holo-[acyl-carrier protein] synthase"		"acyl carrier protein activation"	"acyl carrier protein activation"	RXN-19477 // ENTDB-RXN // RXN-19493 // RXN-10674 // HOLO-ACP-SYNTH-RXN // RXN-15889 // RXN-16759	"" // "acyl carrier protein activation"
"htdZ"	"Rv0130"	157847	158302	"probable 3-hydroxyl-thioester dehydratase"		"palmitate biosynthesis II (bacteria and plants)" // "stearate biosynthesis II (bacteria and plants)" // "superpathway of mycolate biosynthesis" // "mycolate biosynthesis" // "fatty acid elongation -- saturated"	"palmitate biosynthesis II (bacteria and plants)" // "stearate biosynthesis II (bacteria and plants)" // "superpathway of mycolate biosynthesis" // "mycolate biosynthesis" // "fatty acid elongation -- saturated"	RXN-13009 // "3-hydroxy-cis-vaccenoyl-[acyl-carrier protein] dehydratase" // "3-hydroxypetroselinoyl-[acyl-carrier protein] dehydratase" // RXN1G-320 // RXN1G-517 // "3-hydroxycerotyl-[acp] dehydrase" // RXN1G-363 // RXN-9634 // RXN-9520 // 4.2.1.59-RXN // RXN-9533 // RXN-9537 // 4.2.1.61-RXN // RXN-9655 // "(3<em>R</em>)-3-hydroxybutanoyl-[acyl-carrier-protein] hydratase" // 3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	"" // "mycolate biosynthesis" // "superpathway of mycolate biosynthesis" // "stearate biosynthesis II (bacteria and plants)" // "palmitate biosynthesis II (bacteria and plants)" // "fatty acid elongation -- saturated"
G185E-5073	"Rv0919"	1024684	1025184	"GCN5-related N-acetyltransferase"		""	""	""	""
"PE16"	"Rv1430"	1606386	1607972	"PE family protein PE16"		""	""	""	""
G185E-6335	"Rv2129c"	2390308	2391189	"probable oxidoreductase"		""	""	""	""
"clpC1"	"Rv3596c"	4038158	4040704	"probable ATP-dependent protease ATP-binding subunit"		""	""	""	""
"manA"	"Rv3255c"	3635041	3636267	"probable mannose-6-phosphate isomerase"		"GDP-mannose biosynthesis" // "D-mannose degradation"	"GDP-mannose biosynthesis" // "D-mannose degradation"	MANNPISOM-RXN	"D-mannose degradation" // "GDP-mannose biosynthesis"
"htpX"	"Rv0563"	653879	654739	"probable protease transmembrane protein heat shock protein"		""	""	""	""
G185E-4676	"Rv0543c"	635573	635875	"conserved protein"		""	""	""	""
"aspC"	"Rv0337c"	401873	403162	"probable aspartate aminotransferase"		"superpathway of L-isoleucine biosynthesis I" // "superpathway of L-methionine biosynthesis (by sulfhydrylation)" // "superpathway of L-threonine biosynthesis" // "L-aspartate biosynthesis" // "L-aspartate degradation I" // "L-phenylalanine biosynthesis I"	"superpathway of L-isoleucine biosynthesis I" // "superpathway of L-methionine biosynthesis (by sulfhydrylation)" // "superpathway of L-threonine biosynthesis" // "L-aspartate biosynthesis" // "L-aspartate degradation I" // "L-phenylalanine biosynthesis I"	ASPAMINOTRANS-RXN // RXN-13697 // RXN-11737 // RXN-10814	"L-aspartate degradation I" // "L-aspartate biosynthesis" // "" // "L-phenylalanine biosynthesis I"
"hrcA"	"Rv2374c"	2654062	2655093	"probable heat shock protein transcriptional repressor"		""	""	""	""
"fdhF"	"Rv2900c"	3209406	3211745	"possible formate dehydrogenase H"		""	""	RXN0-3281	""
G185E-5958	"Rv1763"	1996152	1996478	"putative transposase for insertion sequence element IS6110 (fragment)"		""	""	""	""
"bglS"	"Rv0186"	216269	218344	"probable beta-glucosidase"		""	""	3.2.1.21-RXN	""
"murC"	"Rv2152c"	2410638	2412122	G185E-6360-MONOMER		"peptidoglycan biosynthesis III (mycobacteria)" // "UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)"	"peptidoglycan biosynthesis III (mycobacteria)" // "UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)"	UDP-NACMUR-ALA-LIG-RXN	"UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)"
"ggtB"	"Rv2394"	2688010	2689941	"probable gamma-glutamyltranspeptidase precursor"		""	""	RXN-6601 // RXN-18092 // RXN-18093 // GAMMA-GLUTAMYLTRANSFERASE-RXN	""
G185E-5588	"Rv1405c"	1581145	1581969	"putative methyltransferase"		""	""	""	""
G185E-6326	"Rv2120c"	2379245	2379727	"probable conserved integral membrane protein"		""	""	""	""
G185E-4324	"Rv0204c"	241976	243214	"probable conserved transmembrane protein"		""	""	""	""
G185E-7865	"Rv3587c"	4028968	4029762	"probable conserved membrane protein"		""	""	""	""
G185E-7504	"Rv3230c"	3607112	3608254	"hypothetical oxidoreductase"		""	""	""	""
"PE_PGRS20"	"Rv1068c"	1190757	1192148	"PE-PGRS family protein PE_PGRS20"		""	""	""	""
G185E-6220	"Rv2018"	2265280	2265999	"antitoxin"		""	""	""	""
G185E-5949	"Rv1754c"	1984979	1986670	"conserved protein"		""	""	""	""
"rplP"	"Rv0708"	805110	805526	"50S ribosomal protein L16"		""	""	""	""
"sodA"	"Rv3846"	4320704	4321327	"superoxide dismutase [FE]"		"reactive oxygen species degradation" // "superoxide radicals degradation"	"reactive oxygen species degradation" // "superoxide radicals degradation"	SUPEROX-DISMUT-RXN	"reactive oxygen species degradation" // "superoxide radicals degradation"
"PE_PGRS25"	"Rv1396c"	1572127	1573857	"PE-PGRS family protein PE_PGRS25"		""	""	""	""
"aroK"	"Rv2539c"	2862673	2863203	"shikimate kinase"		"superpathway of L-tryptophan biosynthesis" // "superpathway of L-tyrosine biosynthesis" // "chorismate biosynthesis I" // "chorismate biosynthesis from 3-dehydroquinate"	"superpathway of L-tryptophan biosynthesis" // "superpathway of L-tyrosine biosynthesis" // "chorismate biosynthesis I" // "chorismate biosynthesis from 3-dehydroquinate"	SHIKIMATE-KINASE-RXN	"chorismate biosynthesis from 3-dehydroquinate"
"ctpF"	"Rv1997"	2240159	2242876	"probable metal cation transporter P-type ATPase A"		""	""	TRANS-RXN185E-2	""
"sigH"	"Rv3223c"	3598901	3599551	"alternative RNA polymerase sigma-E factor (sigma-24)"		""	""	""	""
"esxW"	"Rv3620c"	4060295	4060591	"putative ESAT-6 like protein"		""	""	""	""
G185E-6142	"Rv1945"	2195989	2197353	"conserved hypothetical protein"		""	""	""	""
"mpt70"	"Rv2875"	3187030	3187611	"major secreted immunogenic protein"		""	""	""	""
"PE18"	"Rv1788"	2026477	2026776	"PE family protein PE18"		""	""	""	""
G185E-8061	"Rv3770c"	4215200	4215775	"hypothetical leucine rich protein"		""	""	""	""
"relG"	"Rv2866"	3177822	3178085	"toxin RelG"		""	""	""	""
G185E-5612	"Rv1429"	1604878	1606146	"conserved protein"		""	""	""	""
G185E-5203	"Rv1043c"	1165781	1166806	"conserved hypothetical protein"		""	""	""	""
"choD"	"Rv3409c"	3826991	3828727	"cholesterol oxidase"		"superpathway of cholesterol degradation II (cholesterol dehydrogenase)" // "cholesterol degradation to androstenedione II (cholesterol dehydrogenase)" // "cholesterol degradation to androstenedione I (cholesterol oxidase)"	"superpathway of cholesterol degradation II (cholesterol dehydrogenase)" // "cholesterol degradation to androstenedione II (cholesterol dehydrogenase)" // "cholesterol degradation to androstenedione I (cholesterol oxidase)"	CHOLESTEROL-OXIDASE-RXN // RXN-12778 // RXN-12694	"" // "cholesterol degradation to androstenedione I (cholesterol oxidase)" // "cholesterol degradation to androstenedione II (cholesterol dehydrogenase)"
"Rv3486"	"Rv3486"	3905772	3906221	"Uncharacterized membrane protein Rv3486"		""	""	""	""
G185E-5194	"Rv1034c"	1158918	1159307	"probable transposase (fragment)"		""	""	RXN0-5131	""
"fusA1"	"Rv0684"	782485	784590	"probable elongation factor G"		""	""	""	""
"argB"	"Rv1654"	1867842	1868726	"probable acetylglutamate kinase"		"L-arginine biosynthesis I (via L-ornithine)" // "L-ornithine biosynthesis I" // "L-arginine biosynthesis II (acetyl cycle)"	"L-arginine biosynthesis I (via L-ornithine)" // "L-ornithine biosynthesis I" // "L-arginine biosynthesis II (acetyl cycle)"	ACETYLGLUTKIN-RXN // RXN-15005	"L-arginine biosynthesis II (acetyl cycle)" // "L-ornithine biosynthesis I" // ""
"echA5"	"Rv0675"	774783	775574	"probable enoyl-CoA hydratase"		"fatty acid &beta;-oxidation I"	"fatty acid &beta;-oxidation I"	"trans-tetradec-2-enoyl-CoA hydratase" // RXN-17776 // RXN-17793 // RXN-16558 // RXN-16135 // RXN-17114 // "(S)-3-hydroxybutanoyl-CoA dehydrogenase" // RXN-12567 // RXN-13616 // RXN-17797 // ENOYL-COA-HYDRAT-RXN	"" // "fatty acid &beta;-oxidation I"
"PPE7"	"Rv0354c"	424269	424694	"PPE family protein PPE7"		""	""	""	""
G185E-7528	"Rv3254"	3633675	3635063	"conserved hypothetical protein"		""	""	""	""
G185E-6377	"Rv2168c"	2431094	2431420	"putative transposase for insertion sequence element IS6110 (fragment)"		""	""	""	""
G185E-6742	"Rv2506"	2821712	2822359	"putative tetracycline repressor family transcription regulator Fad35R subunit"		""	""	""	""
"PE20"	"Rv1806"	2048072	2048371	"PE family protein PE20"		""	""	""	""
"fdhD"	"Rv2899c"	3208576	3209406	"possible"		""	""	""	""
G185E-4444	"Rv0320"	387888	388550	"possible conserved exported protein"		""	""	""	""
G185E-6342	"Rv2136c"	2396008	2396838	G185E-6342-MONOMER		"superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis" // "mono-<i>trans</i>, poly-<i>cis</i> decaprenyl phosphate biosynthesis"	"superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis" // "mono-<i>trans</i>, poly-<i>cis</i> decaprenyl phosphate biosynthesis"	RXN-11027	"mono-<i>trans</i>, poly-<i>cis</i> decaprenyl phosphate biosynthesis"
"galE1"	"Rv3634c"	4072667	4073611	"UDP-galactose/glucose 4-epimerase subunit"		"UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis I" // "UDP-&alpha;-D-galactofuranose biosynthesis" // "superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis" // "D-galactose degradation I (Leloir pathway)" // "UDP-&alpha;-D-galactose biosynthesis" // "mycolyl-arabinogalactan-peptidoglycan complex biosynthesis"	""	UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN // UDPGLUCEPIM-RXN	"UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis I" // "mycolyl-arabinogalactan-peptidoglycan complex biosynthesis" // "UDP-&alpha;-D-galactose biosynthesis" // "D-galactose degradation I (Leloir pathway)"
G185E-7882	"Rv3603c"	4045207	4046118	"conserved hypothetical alanine and leucine rich protein"		""	""	""	""
G185E-5766	"Rv1578c"	1782758	1783228	"probable PhiRv1 phage protein"		""	""	""	""
G185E-6752	"Rv2515c"	2831344	2832591	"conserved hypothetical protein"		""	""	""	""
"PE_PGRS19"	"Rv1067c"	1188421	1190424	"PE-PGRS family protein PE_PGRS19"		""	""	""	""
G185E-5965	"Rv1769"	2002626	2003870	"conserved protein"		""	""	""	""
"rho"	"Rv1297"	1453204	1455012	"probable transcription termination factor"		""	""	""	""
"sigE"	"Rv1221"	1364413	1365186	"alternative RNA polymerase sigma factor"		""	""	""	""
G185E-4453	"Rv0329c"	394694	395320	"conserved hypothetical protein"		""	""	""	""
"ribC"	"Rv1412"	1588567	1589172	"probable riboflavin synthase alpha chain"		"flavin biosynthesis I (bacteria and plants)"	""	RIBOFLAVIN-SYN-RXN	"flavin biosynthesis I (bacteria and plants)"
"rpsC"	"Rv0707"	804282	805106	"30S ribosomal protein S3"		""	""	""	""
G185E-6352	"Rv2144c"	2404165	2404521	"probable transmembrane protein"		""	""	""	""
G185E-7891	"Rv3612c"	4053518	4053847	"conserved hypothetical protein"		""	""	""	""
G185E-5974	"Rv1778c"	2012081	2012530	"unknown protein"		""	""	""	""
"Rv1421"	"Rv1421"	1595979	1596884	"Nucleotide-binding protein Rv1421"		""	""	""	""
G185E-7511	"Rv3237c"	3613121	3613603	"conserved protein"		""	""	""	""
"mtrA"	"Rv3246c"	3626663	3627349	"two component sensory transduction transcriptional regulatory protein"		""	""	""	""
"opcA"	"Rv1446c"	1624454	1625365	"putative OXPP cycle protein"		""	""	""	""
"fadD23"	"Rv3826"	4299812	4301566	"long-chain fatty acid adenylyltransferase"		"mycobacterial sulfolipid biosynthesis"	"mycobacterial sulfolipid biosynthesis"	RXN-18540 // RXN-17320 // RXN-17325	"mycobacterial sulfolipid biosynthesis" // ""
"aroB"	"Rv2538c"	2861588	2862676	"3-dehydroquinate synthase"		"superpathway of L-tryptophan biosynthesis" // "superpathway of L-tyrosine biosynthesis" // "chorismate biosynthesis I" // "3-dehydroquinate biosynthesis I"	"superpathway of L-tryptophan biosynthesis" // "superpathway of L-tyrosine biosynthesis" // "chorismate biosynthesis I" // "3-dehydroquinate biosynthesis I"	3-DEHYDROQUINATE-SYNTHASE-RXN	"3-dehydroquinate biosynthesis I"
"frr"	"Rv2882c"	3191644	3192201	"ribosome recycling factor"		""	""	""	""
G185E-7545	"Rv3271c"	3652679	3653347	"probable conserved integral membrane protein"		""	""	""	""
G185E-7391	"Rv3127"	3492147	3493181	"conserved protein"		""	""	""	""
"PPE43"	"Rv2768c"	3076894	3078078	"PPE family protein PPE43"		""	""	""	""
G185E-5210	"Rv1050"	1172881	1173786	"probable oxidoreductase"		""	""	""	""
"pstC1"	"Rv0935"	1043299	1044315	"phosphate-transport integral membrane ABC transporter"		""	""	ABC-27-RXN	""
"ffh"	"Rv2916c"	3224708	3226285	"probable signal recognition particle protein"		""	""	""	""
G185E-4834	"Rv0691c"	791070	791666	"probable transcriptional regulatory protein"		""	""	""	""
G185E-7743	"Rv3466"	3883525	3884193	"conserved hypothetical protein"		""	""	""	""
"nrdE"	"Rv3051c"	3412085	3414166	"ribonucleoside-diphosphate reductase (alpha chain)"		"superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I" // "superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II" // "guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I" // "guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II" // "superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis" // "superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)" // "pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I" // "pyrimidine deoxyribonucleotides biosynthesis from CTP" // "pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III" // "superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I" // "superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II" // "adenosine deoxyribonucleotides <i>de novo</i> biosynthesis" // "adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II"	"superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I" // "superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II" // "guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I" // "guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II" // "superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis" // "superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)" // "pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I" // "pyrimidine deoxyribonucleotides biosynthesis from CTP" // "pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III" // "superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I" // "superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II" // "adenosine deoxyribonucleotides <i>de novo</i> biosynthesis" // "adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II"	"ADP reductase" // CDPREDUCT-RXN // UDPREDUCT-RXN // GDPREDUCT-RXN // RIBONUCLEOSIDE-DIP-REDUCTI-RXN	"adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II" // "adenosine deoxyribonucleotides <i>de novo</i> biosynthesis" // "superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)" // "pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III" // "pyrimidine deoxyribonucleotides biosynthesis from CTP" // "pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I" // "guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II" // "guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I" // ""
"hspR"	"Rv0353"	423639	424019	"probable heat shock protein transcriptional repressor"		""	""	""	""
G185E-5824	"Rv1635c"	1840572	1842242	"probable mannosyltransferase. Probable conserved transmembrane protein."		""	""	""	""
G185E-6760	"Rv2522c"	2838129	2839541	"conserved hypothetical protein"		""	""	""	""
G185E-7143	"Rv2891"	3200266	3201015	"conserved hypothetical protein"		""	""	""	""
G185E-4460	"Rv0336"	400192	401703	"conserved 13E12 repeat family protein"		""	""	""	""
"agpS"	"Rv3107c"	3475378	3476961	"possible alkyldihydroxyacetonephosphate synthase"		""	""	ALKYLGLYCERONE-PHOSPHATE-SYNTHASE-RXN	""
G185E-5450	"Rv1278"	1427414	1430041	"hypothetical protein"		""	""	""	""
G185E-6376	"Rv2167c"	2430159	2431145	"probable transposase"		""	""	RXN0-5131	""
"ftsQ"	"Rv2151c"	2409697	2410641	"cell division protein FtsQ"		""	""	""	""
G185E-5221	"Rv1059"	1182391	1183455	"conserved protein"		""	""	""	""
G185E-5246	"Rv1084"	1207636	1209657	"conserved protein"		""	""	""	""
G185E-6000	"Rv1805c"	2047687	2048034	"hypothetical protein"		""	""	""	""
"ceoC"	"Rv2692"	3010024	3010686	"TRK system potassium uptake protein CeoC"		""	""	TRANS-RXN-185	""
G185E-7912	"Rv3633"	4071791	4072666	"conserved protein"		""	""	""	""
G185E-4843	"Rv0699"	799629	799850	"hypothetical protein"		""	""	""	""
G185E-4713	"Rv0579"	676238	676996	"conserved hypothetical protein"		""	""	""	""
"vapB39"	"Rv2530A"	2854683	2854907	"possible antitoxin"		""	""	""	""
"devB"	"Rv1445c"	1623714	1624457	"probable 6-phosphogluconolactonase"		"pentose phosphate pathway" // "pentose phosphate pathway (oxidative branch) I"	"pentose phosphate pathway" // "pentose phosphate pathway (oxidative branch) I"	6PGLUCONOLACT-RXN	"pentose phosphate pathway (oxidative branch) I"
G185E-4469	"Rv0345"	415050	415460	"conserved hypothetical protein"		""	""	""	""
"sppA"	"Rv0724"	815663	817534	"possible protease IV"		""	""	""	""
"rnz"	"Rv2407"	2704697	2705518	"Ribonuclease Z"		""	""	3.1.26.11-RXN	""
"esxV"	"Rv3619c"	4059984	4060268	"putative ESAT-6 like protein"		""	""	""	""
G185E-6368	"Rv2160A"	2421643	2422278	"conserved hypothetical protein"		""	""	""	""
"ftsK"	"Rv2748c"	3059855	3062506	"possible cell division transmembrane protein"		""	""	""	""
"Rv2554c"	"Rv2554c"	2873258	2873770	"Putative pre-16S rRNA nuclease"		""	""	3.1.11.1-RXN	""
"ppa"	"Rv3628"	4067423	4067911	"inorganic pyrophosphatase"		""	""	INORGPYROPHOSPHAT-RXN	""
"PPE25"	"Rv1787"	2025301	2026398	"PPE family protein PPE25"		""	""	""	""
G185E-4494	"Rv0370c"	447147	448043	"possible oxidoreductase"		""	""	""	""
"PPE14"	"Rv0915c"	1020058	1021329	"PPE family protein PPE14"		""	""	""	""
G185E-5611	"Rv1428c"	1603932	1604759	"conserved hypothetical protein"		""	""	""	""
G185E-6394	"Rv2184c"	2445807	2446946	"conserved hypothetical protein"		""	""	""	""
"ctpC"	"Rv3270"	3650526	3652682	"probable metal cation-transporting P-type ATPase C"		""	""	TRANS-RXN185E-2	""
G185E-7527	"Rv3253c"	3632097	3633584	"possible cationic amino acid transport integral membrane protein"		""	""	TRANS-RXN185E-3	""
"eccE5"	"Rv1797"	2035483	2036703	"ESX conserved component EccE5. ESX-5 type VII secretion system protein. Probable membrane protein."		""	""	""	""
"pgsA2"	"Rv1822"	2069080	2069709	"probable CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase"		"phosphatidylglycerol biosynthesis II (non-plastidic)" // "phosphatidylglycerol biosynthesis I (plastidic)"	"phosphatidylglycerol biosynthesis II (non-plastidic)" // "phosphatidylglycerol biosynthesis I (plastidic)"	PHOSPHAGLYPSYN-RXN	"phosphatidylglycerol biosynthesis I (plastidic)" // "phosphatidylglycerol biosynthesis II (non-plastidic)"
G185E-7150	"Rv2898c"	3207942	3208328	"conserved hypothetical protein"		""	""	""	""
"lipC"	"Rv0220"	262812	264023	"probable esterase"		""	""	""	""
"PE33"	"Rv3650"	4091233	4091517	"PE family protein PE33"		""	""	""	""
"pgk"	"Rv1437"	1614329	1615567	"probable phosphoglycerate kinase"		"glycolysis I (from glucose 6-phosphate)" // "gluconeogenesis I"	"glycolysis I (from glucose 6-phosphate)" // "gluconeogenesis I"	PHOSGLYPHOS-RXN	"gluconeogenesis I" // "glycolysis I (from glucose 6-phosphate)"
G185E-5228	"Rv1066"	1187998	1188393	"conserved hypothetical protein"		""	""	""	""
"dapC"	"Rv0858c"	953727	954920	"probable N-succinyldiaminopimelate aminotransferase"		"L-lysine biosynthesis I"	"L-lysine biosynthesis I"	SUCCINYLDIAMINOPIMTRANS-RXN	"L-lysine biosynthesis I"
G185E-5645	"Rv1462"	1649526	1650719	"conserved hypothetical protein"		""	""	""	""
"rplV"	"Rv0706"	803689	804282	"50S ribosomal protein L22"		""	""	""	""
G185E-6237	"Rv2034"	2281294	2281617	"arsR repressor protein"		""	""	""	""
G185E-4692	"Rv0559c"	650407	650745	"possible conserved secreted protein"		""	""	""	""
"rsbW"	"Rv3287c"	3668951	3669388	"anti-sigma factor"		""	""	""	""
"aroD"	"Rv2537c"	2861148	2861591	"3-dehydroquinate dehydratase"		"superpathway of L-tryptophan biosynthesis" // "superpathway of L-tyrosine biosynthesis" // "chorismate biosynthesis I" // "chorismate biosynthesis from 3-dehydroquinate"	"superpathway of L-tryptophan biosynthesis" // "superpathway of L-tyrosine biosynthesis" // "chorismate biosynthesis I" // "chorismate biosynthesis from 3-dehydroquinate"	3-DEHYDROQUINATE-DEHYDRATASE-RXN	"chorismate biosynthesis from 3-dehydroquinate"
"fum"	"Rv1098c"	1226141	1227565	G185E-5263-MONOMER		"mixed acid fermentation" // "TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"	"mixed acid fermentation" // "TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"	FUMHYDR-RXN	"TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)" // "mixed acid fermentation"
G185E-6616	"Rv2390c"	2683709	2684266	"conserved hypothetical protein"		""	""	""	""
"fbiB"	"Rv3262"	3641535	3642881	"probable F420 biosynthesis protein"		""	""	""	""
"whiB6"	"Rv3862c"	4338171	4338521	"possible transcriptional regulatory protein WhiB-like"		""	""	""	""
G185E-4320	"Rv0200"	237206	237895	"possible conserved transmembrane protein"		""	""	""	""
G185E-7167	"Rv2915c"	3223568	3224680	"conserved protein"		""	""	""	""
G185E-6216	"Rv2014"	2261098	2261688	"transposase"		""	""	RXN0-5131	""
"cmaA2"	"Rv0503c"	593871	594779	"cyclopropane mycolic acid synthase 2"		"superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	"superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	"trans-&Delta;20-39-hydroxy-40-methyl-C60:1-[acp] reductase" // "trans-&Delta;18-37-hydroxy-38-methyl-C58:1-[acp] reductase"	"mycolate biosynthesis"
"glpQ1"	"Rv3842c"	4314738	4315562	"probable glycerophosphoryl diester phosphodiesterase"		"glycerol and glycerophosphodiester degradation" // "glycerophosphodiester degradation"	"glycerol and glycerophosphodiester degradation" // "glycerophosphodiester degradation"	GLYCPDIESTER-RXN // RXN-14073 // RXN-14136 // "glycerophosphorylethanolamine phosphodiesterase"	"glycerophosphodiester degradation" // ""
"dnaJ1"	"Rv0352"	422452	423639	"probable chaperone protein"		""	""	""	""
G185E-7779	"Rv3502c"	3921087	3922040	G185E-7779-MONOMER		""	""	""	""
G185E-5245	"Rv1083"	1207383	1207649	"conserved hypothetical protein"		""	""	""	""
"rplO"	"Rv0723"	815190	815630	"50S ribosomal protein L15"		""	""	""	""
G185E-5860	"Rv1670"	1896120	1896467	"conserved hypothetical protein"		""	""	""	""
G185E-5487	"Rv1313c"	1468171	1469505	"possible transposase"		""	""	RXN0-5131	""
G185E-6793	"Rv2553c"	2872012	2873265	"probable conserved membrane protein"		""	""	""	""
G185E-7182	"Rv2929"	3242970	3243281	"hypothetical protein"		""	""	""	""
"rimM"	"Rv2907c"	3216361	3216891	"probable 16S rRNA processing protein"		""	""	""	""
G185E-7408	"Rv3143"	3509654	3510055	"probable response regulator"		""	""	""	""
G185E-7759	"Rv3482c"	3901324	3902106	"probable conserved membrane protein"		""	""	""	""
G185E-4884	"Rv0739"	830855	831661	"conserved hypothetical protein"		""	""	""	""
G185E-4493	"Rv0369c"	446531	447046	"possible membrane oxidoreductase"		""	""	""	""
"pheT"	"Rv1650"	1859758	1862253	"probable phenylalanyl-tRNA synthetase, beta chain"		"tRNA charging"	""	PHENYLALANINE--TRNA-LIGASE-RXN	"tRNA charging"
G185E-6393	"Rv2183c"	2445415	2445810	"conserved protein"		""	""	""	""
G185E-6812	"Rv2570"	2894512	2894901	"conserved hypothetical protein"		""	""	""	""
G185E-5237	"Rv1075c"	1199426	1200370	"conserved exported protein"		""	""	""	""
